"","ParticipantName","Sex","Age","GazeXAvg","GazeYAvg","Trial","Target","TimeFromSubphaseOnset","TrialNumber","Animate","Inanimate"
"1306","ANCAT139","F",21.86,1318.5,596,"FamiliarBottle","Artefact",0,1,1,0
"1307","ANCAT139","F",21.86,1322,598,"FamiliarBottle","Artefact",17,1,1,0
"1308","ANCAT139","F",21.86,1362,579,"FamiliarBottle","Artefact",33,1,1,0
"1309","ANCAT139","F",21.86,1359,578,"FamiliarBottle","Artefact",50,1,1,0
"1310","ANCAT139","F",21.86,1349.5,584,"FamiliarBottle","Artefact",67,1,1,0
"1311","ANCAT139","F",21.86,1387,598,"FamiliarBottle","Artefact",83,1,1,0
"1312","ANCAT139","F",21.86,1355.5,591,"FamiliarBottle","Artefact",100,1,1,0
"1313","ANCAT139","F",21.86,1370,633.5,"FamiliarBottle","Artefact",117,1,1,0
"1314","ANCAT139","F",21.86,1382,594.5,"FamiliarBottle","Artefact",133,1,1,0
"1315","ANCAT139","F",21.86,1369.5,624,"FamiliarBottle","Artefact",150,1,1,0
"1316","ANCAT139","F",21.86,1355.5,634.5,"FamiliarBottle","Artefact",167,1,1,0
"1317","ANCAT139","F",21.86,1379.5,607,"FamiliarBottle","Artefact",183,1,1,0
"1318","ANCAT139","F",21.86,1361.5,626.5,"FamiliarBottle","Artefact",200,1,1,0
"1319","ANCAT139","F",21.86,1365,624.5,"FamiliarBottle","Artefact",217,1,1,0
"1320","ANCAT139","F",21.86,1375.5,628,"FamiliarBottle","Artefact",233,1,1,0
"1321","ANCAT139","F",21.86,1379.5,610,"FamiliarBottle","Artefact",250,1,1,0
"1322","ANCAT139","F",21.86,1367.5,617,"FamiliarBottle","Artefact",267,1,1,0
"1323","ANCAT139","F",21.86,1308.5,585,"FamiliarBottle","Artefact",283,1,1,0
"1324","ANCAT139","F",21.86,1122,625,"FamiliarBottle","Artefact",300,1,1,0
"1326","ANCAT139","F",21.86,734,628,"FamiliarBottle","Artefact",333,1,0,1
"1327","ANCAT139","F",21.86,513,477,"FamiliarBottle","Artefact",350,1,0,1
"1328","ANCAT139","F",21.86,537,519,"FamiliarBottle","Artefact",367,1,0,1
"1329","ANCAT139","F",21.86,545,537,"FamiliarBottle","Artefact",383,1,0,1
"1330","ANCAT139","F",21.86,567.5,563.5,"FamiliarBottle","Artefact",400,1,0,1
"1331","ANCAT139","F",21.86,557,560.5,"FamiliarBottle","Artefact",417,1,0,1
"1337","ANCAT139","F",21.86,509.5,526.5,"FamiliarBottle","Artefact",517,1,0,1
"1338","ANCAT139","F",21.86,583,554.5,"FamiliarBottle","Artefact",533,1,0,1
"1339","ANCAT139","F",21.86,546,526,"FamiliarBottle","Artefact",550,1,0,1
"1340","ANCAT139","F",21.86,587.5,548,"FamiliarBottle","Artefact",567,1,0,1
"1341","ANCAT139","F",21.86,519.5,516,"FamiliarBottle","Artefact",583,1,0,1
"1342","ANCAT139","F",21.86,595,522.5,"FamiliarBottle","Artefact",600,1,0,1
"1343","ANCAT139","F",21.86,562,520,"FamiliarBottle","Artefact",617,1,0,1
"1344","ANCAT139","F",21.86,584,541.5,"FamiliarBottle","Artefact",633,1,0,1
"1345","ANCAT139","F",21.86,478.5,512,"FamiliarBottle","Artefact",650,1,0,1
"1346","ANCAT139","F",21.86,582.5,552.5,"FamiliarBottle","Artefact",667,1,0,1
"1347","ANCAT139","F",21.86,568,535,"FamiliarBottle","Artefact",683,1,0,1
"1348","ANCAT139","F",21.86,530,503.5,"FamiliarBottle","Artefact",700,1,0,1
"1349","ANCAT139","F",21.86,527,492,"FamiliarBottle","Artefact",717,1,0,1
"1350","ANCAT139","F",21.86,538.5,479,"FamiliarBottle","Artefact",733,1,0,1
"1351","ANCAT139","F",21.86,537.5,479.5,"FamiliarBottle","Artefact",750,1,0,1
"1352","ANCAT139","F",21.86,559,485,"FamiliarBottle","Artefact",767,1,0,1
"1353","ANCAT139","F",21.86,545.5,482.5,"FamiliarBottle","Artefact",783,1,0,1
"1354","ANCAT139","F",21.86,535,478.5,"FamiliarBottle","Artefact",800,1,0,1
"1355","ANCAT139","F",21.86,549,472,"FamiliarBottle","Artefact",817,1,0,1
"1356","ANCAT139","F",21.86,528.5,481.5,"FamiliarBottle","Artefact",833,1,0,1
"1357","ANCAT139","F",21.86,530,458,"FamiliarBottle","Artefact",850,1,0,1
"1360","ANCAT139","F",21.86,577,465.5,"FamiliarBottle","Artefact",900,1,0,1
"1361","ANCAT139","F",21.86,554.5,487,"FamiliarBottle","Artefact",917,1,0,1
"1362","ANCAT139","F",21.86,551.5,494,"FamiliarBottle","Artefact",933,1,0,1
"1363","ANCAT139","F",21.86,559.5,486,"FamiliarBottle","Artefact",950,1,0,1
"1364","ANCAT139","F",21.86,555,475,"FamiliarBottle","Artefact",967,1,0,1
"1365","ANCAT139","F",21.86,556,479,"FamiliarBottle","Artefact",983,1,0,1
"1366","ANCAT139","F",21.86,542.5,499.5,"FamiliarBottle","Artefact",1000,1,0,1
"1367","ANCAT139","F",21.86,537,483.5,"FamiliarBottle","Artefact",1017,1,0,1
"1368","ANCAT139","F",21.86,565,494.5,"FamiliarBottle","Artefact",1033,1,0,1
"1369","ANCAT139","F",21.86,536,482.5,"FamiliarBottle","Artefact",1050,1,0,1
"1370","ANCAT139","F",21.86,544,474,"FamiliarBottle","Artefact",1067,1,0,1
"1371","ANCAT139","F",21.86,555.5,573,"FamiliarBottle","Artefact",1083,1,0,1
"1372","ANCAT139","F",21.86,547.5,574.5,"FamiliarBottle","Artefact",1100,1,0,1
"1373","ANCAT139","F",21.86,573,577,"FamiliarBottle","Artefact",1117,1,0,1
"1374","ANCAT139","F",21.86,542.5,580.5,"FamiliarBottle","Artefact",1133,1,0,1
"1375","ANCAT139","F",21.86,557,578.5,"FamiliarBottle","Artefact",1150,1,0,1
"1376","ANCAT139","F",21.86,554,575.5,"FamiliarBottle","Artefact",1167,1,0,1
"1377","ANCAT139","F",21.86,562,585.5,"FamiliarBottle","Artefact",1183,1,0,1
"1378","ANCAT139","F",21.86,545.5,573,"FamiliarBottle","Artefact",1200,1,0,1
"1379","ANCAT139","F",21.86,556.5,572,"FamiliarBottle","Artefact",1217,1,0,1
"1380","ANCAT139","F",21.86,534.5,597,"FamiliarBottle","Artefact",1233,1,0,1
"1381","ANCAT139","F",21.86,572.5,618.5,"FamiliarBottle","Artefact",1250,1,0,1
"1382","ANCAT139","F",21.86,527.5,597,"FamiliarBottle","Artefact",1267,1,0,1
"1383","ANCAT139","F",21.86,548,589,"FamiliarBottle","Artefact",1283,1,0,1
"1384","ANCAT139","F",21.86,559.5,566,"FamiliarBottle","Artefact",1300,1,0,1
"1385","ANCAT139","F",21.86,561,599,"FamiliarBottle","Artefact",1317,1,0,1
"1386","ANCAT139","F",21.86,514,592.5,"FamiliarBottle","Artefact",1333,1,0,1
"1389","ANCAT139","F",21.86,550.5,594,"FamiliarBottle","Artefact",1383,1,0,1
"1390","ANCAT139","F",21.86,540.5,582.5,"FamiliarBottle","Artefact",1400,1,0,1
"1391","ANCAT139","F",21.86,529,578,"FamiliarBottle","Artefact",1417,1,0,1
"1392","ANCAT139","F",21.86,546,598.5,"FamiliarBottle","Artefact",1433,1,0,1
"1393","ANCAT139","F",21.86,533.5,597.5,"FamiliarBottle","Artefact",1450,1,0,1
"1394","ANCAT139","F",21.86,544,579,"FamiliarBottle","Artefact",1467,1,0,1
"1395","ANCAT139","F",21.86,545,603.5,"FamiliarBottle","Artefact",1483,1,0,1
"1396","ANCAT139","F",21.86,547,596,"FamiliarBottle","Artefact",1500,1,0,1
"1408","ANCAT139","F",21.86,497,563.5,"FamiliarBottle","Artefact",1700,1,0,1
"1409","ANCAT139","F",21.86,535,579.5,"FamiliarBottle","Artefact",1717,1,0,1
"1437","ANCAT139","F",21.86,555.5,522,"FamiliarBottle","Artefact",2183,1,0,1
"1438","ANCAT139","F",21.86,586.5,524,"FamiliarBottle","Artefact",2200,1,0,1
"1439","ANCAT139","F",21.86,570.5,538.5,"FamiliarBottle","Artefact",2217,1,0,1
"1440","ANCAT139","F",21.86,572,554.5,"FamiliarBottle","Artefact",2233,1,0,1
"1441","ANCAT139","F",21.86,540,526.5,"FamiliarBottle","Artefact",2250,1,0,1
"1442","ANCAT139","F",21.86,602.5,555,"FamiliarBottle","Artefact",2267,1,0,1
"1443","ANCAT139","F",21.86,558.5,530.5,"FamiliarBottle","Artefact",2283,1,0,1
"1444","ANCAT139","F",21.86,580.5,543,"FamiliarBottle","Artefact",2300,1,0,1
"1445","ANCAT139","F",21.86,538.5,521.5,"FamiliarBottle","Artefact",2317,1,0,1
"1446","ANCAT139","F",21.86,604,558,"FamiliarBottle","Artefact",2333,1,0,1
"1447","ANCAT139","F",21.86,595.5,564,"FamiliarBottle","Artefact",2350,1,0,1
"1448","ANCAT139","F",21.86,593,566.5,"FamiliarBottle","Artefact",2367,1,0,1
"1449","ANCAT139","F",21.86,599,576.5,"FamiliarBottle","Artefact",2383,1,0,1
"1450","ANCAT139","F",21.86,527.5,568,"FamiliarBottle","Artefact",2400,1,0,1
"1451","ANCAT139","F",21.86,555.5,563.5,"FamiliarBottle","Artefact",2417,1,0,1
"1452","ANCAT139","F",21.86,530.5,554.5,"FamiliarBottle","Artefact",2433,1,0,1
"1453","ANCAT139","F",21.86,512.5,567.5,"FamiliarBottle","Artefact",2450,1,0,1
"1454","ANCAT139","F",21.86,529,573,"FamiliarBottle","Artefact",2467,1,0,1
"1455","ANCAT139","F",21.86,513.5,575.5,"FamiliarBottle","Artefact",2483,1,0,1
"1456","ANCAT139","F",21.86,515,573.5,"FamiliarBottle","Artefact",2500,1,0,1
"1457","ANCAT139","F",21.86,531.5,577.5,"FamiliarBottle","Artefact",2517,1,0,1
"1460","ANCAT139","F",21.86,545,570,"FamiliarBottle","Artefact",2567,1,0,1
"1461","ANCAT139","F",21.86,527,608,"FamiliarBottle","Artefact",2583,1,0,1
"1462","ANCAT139","F",21.86,560.5,558,"FamiliarBottle","Artefact",2600,1,0,1
"1463","ANCAT139","F",21.86,536.5,573.5,"FamiliarBottle","Artefact",2617,1,0,1
"1464","ANCAT139","F",21.86,566,563.5,"FamiliarBottle","Artefact",2633,1,0,1
"1465","ANCAT139","F",21.86,526,565.5,"FamiliarBottle","Artefact",2650,1,0,1
"1466","ANCAT139","F",21.86,556.5,566,"FamiliarBottle","Artefact",2667,1,0,1
"1467","ANCAT139","F",21.86,525.5,576,"FamiliarBottle","Artefact",2683,1,0,1
"1468","ANCAT139","F",21.86,558.5,574.5,"FamiliarBottle","Artefact",2700,1,0,1
"1469","ANCAT139","F",21.86,531,547.5,"FamiliarBottle","Artefact",2717,1,0,1
"1470","ANCAT139","F",21.86,556.5,555,"FamiliarBottle","Artefact",2733,1,0,1
"1471","ANCAT139","F",21.86,550,558.5,"FamiliarBottle","Artefact",2750,1,0,1
"1472","ANCAT139","F",21.86,546.5,558,"FamiliarBottle","Artefact",2767,1,0,1
"1473","ANCAT139","F",21.86,526,567.5,"FamiliarBottle","Artefact",2783,1,0,1
"1474","ANCAT139","F",21.86,543,553,"FamiliarBottle","Artefact",2800,1,0,1
"1475","ANCAT139","F",21.86,550,556,"FamiliarBottle","Artefact",2817,1,0,1
"1476","ANCAT139","F",21.86,545.5,548.5,"FamiliarBottle","Artefact",2833,1,0,1
"1477","ANCAT139","F",21.86,549.5,566.5,"FamiliarBottle","Artefact",2850,1,0,1
"1478","ANCAT139","F",21.86,581,551,"FamiliarBottle","Artefact",2867,1,0,1
