"X","id","instrument_id","date_of_test","data_id","age","gender","mom_ed","birth_order","productive","ageC","birth_orderC","mom_edC","genderContrast","birth_orderSplit","genderContrastC"
1,5581,4,"1989-05-05",5581,24,"M",16,1,394,1.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
2,5582,4,"1989-04-26",5582,19,"M",11,3,85,-3.91674127126231,1.41181736794987,-3.98119964189794,0.5,"Late",0.504923903312444
3,5583,4,"1989-04-26",5583,27,"M",18,2,111,4.08325872873769,0.411817367949866,3.01880035810206,0.5,"Late",0.504923903312444
4,5584,4,"1989-04-26",5584,25,"M",18,2,199,2.08325872873769,0.411817367949866,3.01880035810206,0.5,"Late",0.504923903312444
5,5585,4,"1989-04-26",5585,20,"F",14,1,370,-2.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
6,5586,4,"1989-05-01",5586,29,"F",18,1,639,6.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
7,5587,4,"1989-04-28",5587,21,"M",18,1,312,-1.91674127126231,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
8,5588,4,"1989-04-29",5588,27,"F",13,2,585,4.08325872873769,0.411817367949866,-1.98119964189794,-0.5,"Late",-0.495076096687556
9,5589,4,"1989-04-27",5589,27,"M",13,1,331,4.08325872873769,-0.588182632050134,-1.98119964189794,0.5,"Early",0.504923903312444
10,5590,4,"1989-04-26",5590,19,"F",17,1,103,-3.91674127126231,-0.588182632050134,2.01880035810206,-0.5,"Early",-0.495076096687556
11,5591,4,"1989-04-27",5591,20,"F",13,4,73,-2.91674127126231,2.41181736794987,-1.98119964189794,-0.5,"Late",-0.495076096687556
12,5592,4,"1989-04-26",5592,30,"F",14,1,575,7.08325872873769,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
13,5593,4,"1989-04-27",5593,23,"F",18,1,551,0.0832587287376896,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
14,5594,4,"1989-04-27",5594,17,"F",16,1,10,-5.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
15,5595,4,"1989-04-27",5595,28,"F",14,4,253,5.08325872873769,2.41181736794987,-0.981199641897941,-0.5,"Late",-0.495076096687556
16,5596,4,"1989-04-27",5596,18,"F",16,1,156,-4.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
17,5597,4,"1989-04-26",5597,26,"M",12,2,430,3.08325872873769,0.411817367949866,-2.98119964189794,0.5,"Late",0.504923903312444
18,5598,4,"1989-04-25",5598,17,"F",16,2,29,-5.91674127126231,0.411817367949866,1.01880035810206,-0.5,"Late",-0.495076096687556
20,5600,4,"1989-04-27",5600,18,"M",16,2,124,-4.91674127126231,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
21,5601,4,"1989-04-27",5601,18,"F",15,1,28,-4.91674127126231,-0.588182632050134,0.0188003581020588,-0.5,"Early",-0.495076096687556
22,5602,4,"1989-04-28",5602,22,"F",12,2,302,-0.91674127126231,0.411817367949866,-2.98119964189794,-0.5,"Late",-0.495076096687556
23,5603,4,"1989-04-26",5603,29,"F",14,1,560,6.08325872873769,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
24,5604,4,"1989-04-29",5604,27,"M",15,2,305,4.08325872873769,0.411817367949866,0.0188003581020588,0.5,"Late",0.504923903312444
25,5605,4,"1989-04-30",5605,30,"M",16,2,314,7.08325872873769,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
26,5606,4,"1989-04-28",5606,20,"M",18,1,345,-2.91674127126231,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
27,5607,4,"1989-04-29",5607,21,"M",18,1,317,-1.91674127126231,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
28,5608,4,"1989-04-28",5608,25,"M",11,2,138,2.08325872873769,0.411817367949866,-3.98119964189794,0.5,"Late",0.504923903312444
29,5609,4,"1989-04-30",5609,28,"F",16,2,468,5.08325872873769,0.411817367949866,1.01880035810206,-0.5,"Late",-0.495076096687556
30,5610,4,"1989-05-01",5610,26,"M",18,3,40,3.08325872873769,1.41181736794987,3.01880035810206,0.5,"Late",0.504923903312444
31,5611,4,"1989-05-02",5611,27,"M",17,4,632,4.08325872873769,2.41181736794987,2.01880035810206,0.5,"Late",0.504923903312444
32,5612,4,"1989-05-01",5612,24,"F",12,3,87,1.08325872873769,1.41181736794987,-2.98119964189794,-0.5,"Late",-0.495076096687556
33,5613,4,"1989-04-30",5613,20,"F",16,1,100,-2.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
34,5614,4,"1989-05-01",5614,29,"M",16,1,656,6.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
35,5615,4,"1989-04-27",5615,20,"M",16,1,188,-2.91674127126231,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
36,5616,4,"1989-04-29",5616,26,"F",16,3,273,3.08325872873769,1.41181736794987,1.01880035810206,-0.5,"Late",-0.495076096687556
37,5617,4,"1989-04-29",5617,17,"F",13,1,90,-5.91674127126231,-0.588182632050134,-1.98119964189794,-0.5,"Early",-0.495076096687556
38,5618,4,"1989-04-27",5618,21,"F",14,1,252,-1.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
39,5619,4,"1989-04-29",5619,18,"M",12,1,34,-4.91674127126231,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
40,5620,4,"1989-04-29",5620,23,"M",14,1,315,0.0832587287376896,-0.588182632050134,-0.981199641897941,0.5,"Early",0.504923903312444
41,5621,4,"1989-04-28",5621,27,"F",14,1,429,4.08325872873769,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
42,5622,4,"1989-05-01",5622,23,"M",16,2,76,0.0832587287376896,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
43,5623,4,"1989-04-30",5623,23,"M",16,2,405,0.0832587287376896,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
44,5624,4,"1989-04-29",5624,24,"F",11,2,41,1.08325872873769,0.411817367949866,-3.98119964189794,-0.5,"Late",-0.495076096687556
45,5625,4,"1989-05-01",5625,27,"M",14,2,324,4.08325872873769,0.411817367949866,-0.981199641897941,0.5,"Late",0.504923903312444
46,5626,4,"1989-04-26",5626,30,"F",18,1,675,7.08325872873769,-0.588182632050134,3.01880035810206,-0.5,"Early",-0.495076096687556
47,5627,4,"1989-04-28",5627,27,"M",16,2,267,4.08325872873769,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
48,5628,4,"1989-04-30",5628,30,"M",16,1,386,7.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
49,5629,4,"1989-04-30",5629,30,"M",17,1,393,7.08325872873769,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
50,5630,4,"1989-05-01",5630,20,"M",15,1,211,-2.91674127126231,-0.588182632050134,0.0188003581020588,0.5,"Early",0.504923903312444
51,5631,4,"1989-05-02",5631,18,"F",14,1,29,-4.91674127126231,-0.588182632050134,-0.981199641897941,-0.5,"Early",-0.495076096687556
52,5632,4,"1989-04-28",5632,21,"F",16,1,483,-1.91674127126231,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
53,5633,4,"1989-05-01",5633,30,"M",16,2,638,7.08325872873769,0.411817367949866,1.01880035810206,0.5,"Late",0.504923903312444
54,5634,4,"1989-04-28",5634,24,"F",16,1,339,1.08325872873769,-0.588182632050134,1.01880035810206,-0.5,"Early",-0.495076096687556
55,5635,4,"1989-04-29",5635,26,"M",16,1,72,3.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
56,5636,4,"1989-04-29",5636,17,"M",12,1,176,-5.91674127126231,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
57,5637,4,"1989-04-30",5637,30,"M",12,1,449,7.08325872873769,-0.588182632050134,-2.98119964189794,0.5,"Early",0.504923903312444
58,5638,4,"1989-04-27",5638,28,"F",12,2,528,5.08325872873769,0.411817367949866,-2.98119964189794,-0.5,"Late",-0.495076096687556
59,5639,4,"1989-05-01",5639,20,"M",16,1,66,-2.91674127126231,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
60,5640,4,"1989-04-26",5640,22,"M",17,1,154,-0.91674127126231,-0.588182632050134,2.01880035810206,0.5,"Early",0.504923903312444
61,5641,4,"1989-04-28",5641,24,"F",17,1,501,1.08325872873769,-0.588182632050134,2.01880035810206,-0.5,"Early",-0.495076096687556
62,5642,4,"1989-04-28",5642,25,"M",16,1,448,2.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
63,5643,4,"1989-04-28",5643,26,"M",16,1,69,3.08325872873769,-0.588182632050134,1.01880035810206,0.5,"Early",0.504923903312444
64,5644,4,"1989-04-29",5644,20,"M",18,1,84,-2.91674127126231,-0.588182632050134,3.01880035810206,0.5,"Early",0.504923903312444
65,5645,4,"1989-04-26",5645,25,"F",14,3,484,2.08325872873769,1.41181736794987,-0.981199641897941,-0.5,"Late",-0.495076096687556
